CREATIVE,LINK,SPONSOR,CATEGORY,CATEGORY-STATE,L,MARKET,DISTRICT,MEDIA,AIRDATE,AIRTIME,DAYPART,STATION,AFFILIATE,PROGRAM,PROGRAM TYPE,EST. COST,AD TYPE,AFFILIATION,ELECTION,ISSUE,LEVEL,RACE,TONE,YEAR,NIELSENDMAID,MARKET-STATE
"HOUSE/NC03 DACEY LARGEST TAX CUT","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC03_DACEY_LARGEST_TAX_CUT.wmv","DACEY, SCOTT","HOUSE/NC03","NC","30","GREENVILLE, NC","03","Spot TV","04/06/2018","19:45:06","PRIME ACCESS","WYDO","FOX","BIG BANG THEORY","SITUATION COMEDY","180","CANDIDATE","REPUBLICAN","PRIMARY","TAXES|PRO-TRUMP|TAXES:  REFORM","FEDERAL","US HOUSE","CONTRAST","2018","545","NC"
"HOUSE/NC03 DACEY LARGEST TAX CUT","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC03_DACEY_LARGEST_TAX_CUT.wmv","DACEY, SCOTT","HOUSE/NC03","NC","30","GREENVILLE, NC","03","Spot TV","04/06/2018","22:17:18","LATE NEWS","WYDO","FOX","WCTI NEWS CHANNEL 12 ON","NEWSCAST (LOCAL ONLY)","100","CANDIDATE","REPUBLICAN","PRIMARY","TAXES|PRO-TRUMP|TAXES:  REFORM","FEDERAL","US HOUSE","CONTRAST","2018","545","NC"
"HOUSE/NC03 DACEY LARGEST TAX CUT","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC03_DACEY_LARGEST_TAX_CUT.wmv","DACEY, SCOTT","HOUSE/NC03","NC","30","GREENVILLE, NC","03","Spot TV","04/09/2018","19:11:47","PRIME ACCESS","WYDO","FOX","BIG BANG THEORY","SITUATION COMEDY","180","CANDIDATE","REPUBLICAN","PRIMARY","TAXES|PRO-TRUMP|TAXES:  REFORM","FEDERAL","US HOUSE","CONTRAST","2018","545","NC"
"HOUSE/NC03 DACEY LARGEST TAX CUT","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC03_DACEY_LARGEST_TAX_CUT.wmv","DACEY, SCOTT","HOUSE/NC03","NC","30","GREENVILLE, NC","03","Spot TV","04/09/2018","19:55:52","PRIME ACCESS","WYDO","FOX","BIG BANG THEORY","SITUATION COMEDY","180","CANDIDATE","REPUBLICAN","PRIMARY","TAXES|PRO-TRUMP|TAXES:  REFORM","FEDERAL","US HOUSE","CONTRAST","2018","545","NC"
"HOUSE/NC03 DACEY LARGEST TAX CUT","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC03_DACEY_LARGEST_TAX_CUT.wmv","DACEY, SCOTT","HOUSE/NC03","NC","30","GREENVILLE, NC","03","Spot TV","04/09/2018","22:23:30","LATE NEWS","WYDO","FOX","WCTI NEWS CHANNEL 12 ON","NEWSCAST (LOCAL ONLY)","100","CANDIDATE","REPUBLICAN","PRIMARY","TAXES|PRO-TRUMP|TAXES:  REFORM","FEDERAL","US HOUSE","CONTRAST","2018","545","NC"
"HOUSE/NC09 HARRIS ANOTHER WASHINGTON POLITICIAN","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_HARRIS_ANOTHER_WASHINGTON_POLITICIAN.wmv","HARRIS, MARK","HOUSE/NC09","NC","30","CHARLOTTE","09","Spot TV","04/02/2018","19:20:53","PRIME ACCESS","WAXN","IND","FAMILY FEUD","GAME SHOW","380","CANDIDATE","REPUBLICAN","PRIMARY","PRO-TRUMP","FEDERAL","US HOUSE","NEGATIVE","2018","517","NC"
"HOUSE/NC09 HARRIS ANOTHER WASHINGTON POLITICIAN","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_HARRIS_ANOTHER_WASHINGTON_POLITICIAN.wmv","HARRIS, MARK","HOUSE/NC09","NC","30","CHARLOTTE","09","Spot TV","04/02/2018","19:51:12","PRIME ACCESS","WAXN","IND","FAMILY FEUD","GAME SHOW","430","CANDIDATE","REPUBLICAN","PRIMARY","PRO-TRUMP","FEDERAL","US HOUSE","NEGATIVE","2018","517","NC"
"HOUSE/NC09 HARRIS ANOTHER WASHINGTON POLITICIAN","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_HARRIS_ANOTHER_WASHINGTON_POLITICIAN.wmv","HARRIS, MARK","HOUSE/NC09","NC","30","CHARLOTTE","09","Spot TV","04/02/2018","21:19:39","PRIME TIME","WAXN","IND","CRIME WATCH DAILY WITH C","SLICE-OF-LIFE","80","CANDIDATE","REPUBLICAN","PRIMARY","PRO-TRUMP","FEDERAL","US HOUSE","NEGATIVE","2018","517","NC"
"HOUSE/NC09 HARRIS ANOTHER WASHINGTON POLITICIAN","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_HARRIS_ANOTHER_WASHINGTON_POLITICIAN.wmv","HARRIS, MARK","HOUSE/NC09","NC","30","CHARLOTTE","09","Spot TV","04/02/2018","21:45:41","PRIME TIME","WAXN","IND","CRIME WATCH DAILY WITH C","SLICE-OF-LIFE","80","CANDIDATE","REPUBLICAN","PRIMARY","PRO-TRUMP","FEDERAL","US HOUSE","NEGATIVE","2018","517","NC"
"HOUSE/NC09 HARRIS ANOTHER WASHINGTON POLITICIAN","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_HARRIS_ANOTHER_WASHINGTON_POLITICIAN.wmv","HARRIS, MARK","HOUSE/NC09","NC","30","CHARLOTTE","09","Spot TV","04/04/2018","21:41:00","PRIME TIME","WAXN","IND","CRIME WATCH DAILY WITH C","SLICE-OF-LIFE","80","CANDIDATE","REPUBLICAN","PRIMARY","PRO-TRUMP","FEDERAL","US HOUSE","NEGATIVE","2018","517","NC"
"HOUSE/NC09 HARRIS ANOTHER WASHINGTON POLITICIAN","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_HARRIS_ANOTHER_WASHINGTON_POLITICIAN.wmv","HARRIS, MARK","HOUSE/NC09","NC","30","CHARLOTTE","09","Spot TV","04/05/2018","20:27:10","PRIME TIME","WAXN","IND","FAMILY FEUD","GAME SHOW","140","CANDIDATE","REPUBLICAN","PRIMARY","PRO-TRUMP","FEDERAL","US HOUSE","NEGATIVE","2018","517","NC"
"HOUSE/NC09 HARRIS ANOTHER WASHINGTON POLITICIAN","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_HARRIS_ANOTHER_WASHINGTON_POLITICIAN.wmv","HARRIS, MARK","HOUSE/NC09","NC","30","CHARLOTTE","09","Spot TV","04/06/2018","20:21:12","PRIME TIME","WAXN","IND","FAMILY FEUD","GAME SHOW","140","CANDIDATE","REPUBLICAN","PRIMARY","PRO-TRUMP","FEDERAL","US HOUSE","NEGATIVE","2018","517","NC"
"HOUSE/NC09 HARRIS ANOTHER WASHINGTON POLITICIAN","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_HARRIS_ANOTHER_WASHINGTON_POLITICIAN.wmv","HARRIS, MARK","HOUSE/NC09","NC","30","CHARLOTTE","09","Spot TV","04/06/2018","21:34:10","PRIME TIME","WAXN","IND","CRIME WATCH DAILY WITH C","SLICE-OF-LIFE","80","CANDIDATE","REPUBLICAN","PRIMARY","PRO-TRUMP","FEDERAL","US HOUSE","NEGATIVE","2018","517","NC"
"HOUSE/NC09 HARRIS ANOTHER WASHINGTON POLITICIAN","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_HARRIS_ANOTHER_WASHINGTON_POLITICIAN.wmv","HARRIS, MARK","HOUSE/NC09","NC","30","CHARLOTTE","09","Spot TV","04/07/2018","19:57:13","PRIME ACCESS","WAXN","IND","FAMILY FEUD WKND","GAME SHOW","110","CANDIDATE","REPUBLICAN","PRIMARY","PRO-TRUMP","FEDERAL","US HOUSE","NEGATIVE","2018","517","NC"
"HOUSE/NC09 HARRIS ANOTHER WASHINGTON POLITICIAN","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_HARRIS_ANOTHER_WASHINGTON_POLITICIAN.wmv","HARRIS, MARK","HOUSE/NC09","NC","30","CHARLOTTE","09","Spot TV","04/09/2018","20:19:56","PRIME TIME","WAXN","IND","FAMILY FEUD","GAME SHOW","140","CANDIDATE","REPUBLICAN","PRIMARY","PRO-TRUMP","FEDERAL","US HOUSE","NEGATIVE","2018","517","NC"
"HOUSE/NC09 HARRIS ANOTHER WASHINGTON POLITICIAN","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_HARRIS_ANOTHER_WASHINGTON_POLITICIAN.wmv","HARRIS, MARK","HOUSE/NC09","NC","30","CHARLOTTE","09","Spot TV","04/09/2018","21:27:34","PRIME TIME","WAXN","IND","CRIME WATCH DAILY WITH C","SLICE-OF-LIFE","80","CANDIDATE","REPUBLICAN","PRIMARY","PRO-TRUMP","FEDERAL","US HOUSE","NEGATIVE","2018","517","NC"
"HOUSE/NC09 HARRIS ANOTHER WASHINGTON POLITICIAN","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_HARRIS_ANOTHER_WASHINGTON_POLITICIAN.wmv","HARRIS, MARK","HOUSE/NC09","NC","30","CHARLOTTE","09","Spot TV","04/01/2018","05:40:44","EARLY MORNING","WBTV","CBS","WBTV NEWS 3 SUNDAY 5A","NEWSCAST (LOCAL ONLY)","90","CANDIDATE","REPUBLICAN","PRIMARY","PRO-TRUMP","FEDERAL","US HOUSE","NEGATIVE","2018","517","NC"
"HOUSE/NC09 HARRIS ANOTHER WASHINGTON POLITICIAN","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_HARRIS_ANOTHER_WASHINGTON_POLITICIAN.wmv","HARRIS, MARK","HOUSE/NC09","NC","30","CHARLOTTE","09","Spot TV","04/01/2018","06:40:27","EARLY MORNING","WBTV","CBS","WBTV NEWS 3 SUNDAY 6A","NEWSCAST (LOCAL ONLY)","180","CANDIDATE","REPUBLICAN","PRIMARY","PRO-TRUMP","FEDERAL","US HOUSE","NEGATIVE","2018","517","NC"
"HOUSE/NC09 HARRIS ANOTHER WASHINGTON POLITICIAN","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_HARRIS_ANOTHER_WASHINGTON_POLITICIAN.wmv","HARRIS, MARK","HOUSE/NC09","NC","30","CHARLOTTE","09","Spot TV","04/01/2018","08:58:24","EARLY MORNING","WBTV","CBS","IN TOUCH/DR CHARLES","RELIGION","170","CANDIDATE","REPUBLICAN","PRIMARY","PRO-TRUMP","FEDERAL","US HOUSE","NEGATIVE","2018","517","NC"
"HOUSE/NC09 HARRIS ANOTHER WASHINGTON POLITICIAN","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_HARRIS_ANOTHER_WASHINGTON_POLITICIAN.wmv","HARRIS, MARK","HOUSE/NC09","NC","30","CHARLOTTE","09","Spot TV","04/01/2018","09:49:05","EARLY MORNING","WBTV","CBS","SUNDAY MORNING-CBS","NEWS FORUM/INTERVIEW/VARIED FORMAT","320","CANDIDATE","REPUBLICAN","PRIMARY","PRO-TRUMP","FEDERAL","US HOUSE","NEGATIVE","2018","517","NC"
"HOUSE/NC09 HARRIS ANOTHER WASHINGTON POLITICIAN","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_HARRIS_ANOTHER_WASHINGTON_POLITICIAN.wmv","HARRIS, MARK","HOUSE/NC09","NC","30","CHARLOTTE","09","Spot TV","04/01/2018","11:26:44","EARLY MORNING","WBTV","CBS","FACE THE NATION","NEWS FORUM/INTERVIEW/VARIED FORMAT","320","CANDIDATE","REPUBLICAN","PRIMARY","PRO-TRUMP","FEDERAL","US HOUSE","NEGATIVE","2018","517","NC"
"HOUSE/NC09 HARRIS ANOTHER WASHINGTON POLITICIAN","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_HARRIS_ANOTHER_WASHINGTON_POLITICIAN.wmv","HARRIS, MARK","HOUSE/NC09","NC","30","CHARLOTTE","09","Spot TV","04/01/2018","18:52:29","EARLY FRINGE","WBTV","CBS","WBTV NEWS 3 AT 6:30PM","NEWSCAST (LOCAL ONLY)","440","CANDIDATE","REPUBLICAN","PRIMARY","PRO-TRUMP","FEDERAL","US HOUSE","NEGATIVE","2018","517","NC"
"HOUSE/NC09 HARRIS ANOTHER WASHINGTON POLITICIAN","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_HARRIS_ANOTHER_WASHINGTON_POLITICIAN.wmv","HARRIS, MARK","HOUSE/NC09","NC","30","CHARLOTTE","09","Spot TV","04/01/2018","21:46:52","PRIME TIME","WBTV","CBS","NCIS: LOS ANGELES","POLICE/SUSPENSE/MYSTERY","3420","CANDIDATE","REPUBLICAN","PRIMARY","PRO-TRUMP","FEDERAL","US HOUSE","NEGATIVE","2018","517","NC"
"HOUSE/NC09 HARRIS ANOTHER WASHINGTON POLITICIAN","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_HARRIS_ANOTHER_WASHINGTON_POLITICIAN.wmv","HARRIS, MARK","HOUSE/NC09","NC","30","CHARLOTTE","09","Spot TV","04/01/2018","23:00:01","LATE NEWS","WBTV","CBS","MADAM SECRETARY-CBS","DRAMA/ADVENTURE","2440","CANDIDATE","REPUBLICAN","PRIMARY","PRO-TRUMP","FEDERAL","US HOUSE","NEGATIVE","2018","517","NC"
"HOUSE/NC09 HARRIS ANOTHER WASHINGTON POLITICIAN","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_HARRIS_ANOTHER_WASHINGTON_POLITICIAN.wmv","HARRIS, MARK","HOUSE/NC09","NC","30","CHARLOTTE","09","Spot TV","04/01/2018","23:22:16","LATE NEWS","WBTV","CBS","WBTV 3 NEWS AT 11PM","NEWSCAST (LOCAL ONLY)","950","CANDIDATE","REPUBLICAN","PRIMARY","PRO-TRUMP","FEDERAL","US HOUSE","NEGATIVE","2018","517","NC"
"HOUSE/NC09 HARRIS ANOTHER WASHINGTON POLITICIAN","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_HARRIS_ANOTHER_WASHINGTON_POLITICIAN.wmv","HARRIS, MARK","HOUSE/NC09","NC","30","CHARLOTTE","09","Spot TV","04/02/2018","01:22:55","LATE FRINGE","WBTV","CBS","ACCESS LIVE","ENTERTAINMENT MAGAZINE","80","CANDIDATE","REPUBLICAN","PRIMARY","PRO-TRUMP","FEDERAL","US HOUSE","NEGATIVE","2018","517","NC"
"HOUSE/NC09 HARRIS ANOTHER WASHINGTON POLITICIAN","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_HARRIS_ANOTHER_WASHINGTON_POLITICIAN.wmv","HARRIS, MARK","HOUSE/NC09","NC","30","CHARLOTTE","09","Spot TV","04/02/2018","05:26:18","EARLY MORNING","WBTV","CBS","WBTV 3 NEWS AT 5AM","NEWSCAST (LOCAL ONLY)","320","CANDIDATE","REPUBLICAN","PRIMARY","PRO-TRUMP","FEDERAL","US HOUSE","NEGATIVE","2018","517","NC"
"HOUSE/NC09 HARRIS ANOTHER WASHINGTON POLITICIAN","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_HARRIS_ANOTHER_WASHINGTON_POLITICIAN.wmv","HARRIS, MARK","HOUSE/NC09","NC","30","CHARLOTTE","09","Spot TV","04/02/2018","10:58:07","DAYTIME","WBTV","CBS","LET'S MAKE A DEAL-CBS","GAME SHOW","260","CANDIDATE","REPUBLICAN","PRIMARY","PRO-TRUMP","FEDERAL","US HOUSE","NEGATIVE","2018","517","NC"
"HOUSE/NC09 HARRIS ANOTHER WASHINGTON POLITICIAN","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_HARRIS_ANOTHER_WASHINGTON_POLITICIAN.wmv","HARRIS, MARK","HOUSE/NC09","NC","30","CHARLOTTE","09","Spot TV","04/02/2018","17:57:49","EARLY FRINGE","WBTV","CBS","WBTV 3 NEWS AT 5PM","NEWSCAST (LOCAL ONLY)","520","CANDIDATE","REPUBLICAN","PRIMARY","PRO-TRUMP","FEDERAL","US HOUSE","NEGATIVE","2018","517","NC"
"HOUSE/NC09 HARRIS ANOTHER WASHINGTON POLITICIAN","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_HARRIS_ANOTHER_WASHINGTON_POLITICIAN.wmv","HARRIS, MARK","HOUSE/NC09","NC","30","CHARLOTTE","09","Spot TV","04/02/2018","19:58:44","PRIME ACCESS","WBTV","CBS","ACCESS","ENTERTAINMENT MAGAZINE","440","CANDIDATE","REPUBLICAN","PRIMARY","PRO-TRUMP","FEDERAL","US HOUSE","NEGATIVE","2018","517","NC"
"HOUSE/NC09 HARRIS ANOTHER WASHINGTON POLITICIAN","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_HARRIS_ANOTHER_WASHINGTON_POLITICIAN.wmv","HARRIS, MARK","HOUSE/NC09","NC","30","CHARLOTTE","09","Spot TV","04/02/2018","22:44:02","PRIME TIME","WBTV","CBS","NCIS-CBS","POLICE/SUSPENSE/MYSTERY","3050","CANDIDATE","REPUBLICAN","PRIMARY","PRO-TRUMP","FEDERAL","US HOUSE","NEGATIVE","2018","517","NC"
"HOUSE/NC09 HARRIS ANOTHER WASHINGTON POLITICIAN","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_HARRIS_ANOTHER_WASHINGTON_POLITICIAN.wmv","HARRIS, MARK","HOUSE/NC09","NC","30","CHARLOTTE","09","Spot TV","04/03/2018","00:36:30","LATE FRINGE","WBTV","CBS","LATE SHOW WITH STEPHEN C","TALK","720","CANDIDATE","REPUBLICAN","PRIMARY","PRO-TRUMP","FEDERAL","US HOUSE","NEGATIVE","2018","517","NC"
"HOUSE/NC09 HARRIS ANOTHER WASHINGTON POLITICIAN","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_HARRIS_ANOTHER_WASHINGTON_POLITICIAN.wmv","HARRIS, MARK","HOUSE/NC09","NC","30","CHARLOTTE","09","Spot TV","04/03/2018","08:59:10","EARLY MORNING","WBTV","CBS","CBS THIS MORNING","NEWS FORUM/INTERVIEW/VARIED FORMAT","380","CANDIDATE","REPUBLICAN","PRIMARY","PRO-TRUMP","FEDERAL","US HOUSE","NEGATIVE","2018","517","NC"
"HOUSE/NC09 HARRIS ANOTHER WASHINGTON POLITICIAN","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_HARRIS_ANOTHER_WASHINGTON_POLITICIAN.wmv","HARRIS, MARK","HOUSE/NC09","NC","30","CHARLOTTE","09","Spot TV","04/03/2018","16:11:30","EARLY FRINGE","WBTV","CBS","WBTV 3 NEWS AT 4PM","NEWSCAST (LOCAL ONLY)","350","CANDIDATE","REPUBLICAN","PRIMARY","PRO-TRUMP","FEDERAL","US HOUSE","NEGATIVE","2018","517","NC"
"HOUSE/NC09 HARRIS ANOTHER WASHINGTON POLITICIAN","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_HARRIS_ANOTHER_WASHINGTON_POLITICIAN.wmv","HARRIS, MARK","HOUSE/NC09","NC","30","CHARLOTTE","09","Spot TV","04/04/2018","08:16:04","EARLY MORNING","WBTV","CBS","CBS THIS MORNING","NEWS FORUM/INTERVIEW/VARIED FORMAT","380","CANDIDATE","REPUBLICAN","PRIMARY","PRO-TRUMP","FEDERAL","US HOUSE","NEGATIVE","2018","517","NC"
"HOUSE/NC09 HARRIS ANOTHER WASHINGTON POLITICIAN","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_HARRIS_ANOTHER_WASHINGTON_POLITICIAN.wmv","HARRIS, MARK","HOUSE/NC09","NC","30","CHARLOTTE","09","Spot TV","04/04/2018","09:30:08","DAYTIME","WBTV","CBS","MORNING BREAK","NEWSCAST (LOCAL ONLY)","180","CANDIDATE","REPUBLICAN","PRIMARY","PRO-TRUMP","FEDERAL","US HOUSE","NEGATIVE","2018","517","NC"
"HOUSE/NC09 HARRIS ANOTHER WASHINGTON POLITICIAN","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_HARRIS_ANOTHER_WASHINGTON_POLITICIAN.wmv","HARRIS, MARK","HOUSE/NC09","NC","30","CHARLOTTE","09","Spot TV","04/04/2018","12:23:26","DAYTIME","WBTV","CBS","WBTV 3 NEWS AT 12 NOON","NEWSCAST (LOCAL ONLY)","380","CANDIDATE","REPUBLICAN","PRIMARY","PRO-TRUMP","FEDERAL","US HOUSE","NEGATIVE","2018","517","NC"
"HOUSE/NC09 HARRIS ANOTHER WASHINGTON POLITICIAN","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_HARRIS_ANOTHER_WASHINGTON_POLITICIAN.wmv","HARRIS, MARK","HOUSE/NC09","NC","30","CHARLOTTE","09","Spot TV","04/04/2018","17:13:35","EARLY FRINGE","WBTV","CBS","WBTV 3 NEWS AT 5PM","NEWSCAST (LOCAL ONLY)","520","CANDIDATE","REPUBLICAN","PRIMARY","PRO-TRUMP","FEDERAL","US HOUSE","NEGATIVE","2018","517","NC"
"HOUSE/NC09 HARRIS ANOTHER WASHINGTON POLITICIAN","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_HARRIS_ANOTHER_WASHINGTON_POLITICIAN.wmv","HARRIS, MARK","HOUSE/NC09","NC","30","CHARLOTTE","09","Spot TV","04/05/2018","01:07:39","LATE FRINGE","WBTV","CBS","LATE LATE SHOW WITH JAME","TALK","240","CANDIDATE","REPUBLICAN","PRIMARY","PRO-TRUMP","FEDERAL","US HOUSE","NEGATIVE","2018","517","NC"
